Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
851,Pro Evolution Soccer 2008,PS2,2008,Sports,Konami  ,Konami  ,8.2,,0.05,0,0.64,2.93,3.63,,3.63
852,FIFA Soccer 10,PS3,2009,Sports,EA Sports  ,EA Canada  ,9,,0.6,2.46,0.05,0.52,3.63,,3.63
853,Guitar Hero: World Tour,Wii,2008,Misc,Activision  ,Vicarious Visions  ,8.4,,2.32,0.96,,0.34,3.62,,3.62
854,Star Wars Battlefront,PS2,2004,Shooter,LucasArts  ,Pandemic Studios  ,8.1,,1.93,1.22,0.03,0.44,3.61,,3.61
855,Doom II,PC,1994,Shooter,GT Interactive  ,id Software  ,9.3,,2.05,1.4,,0.16,3.61,,3.61
856,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts  ,Radical Entertainment  ,6.1,,2.02,1.17,,0.42,3.61,,3.61
857,BattleBlock Theater,PC,2014,Platform,The Behemoth  ,The Behemoth  ,,,,,,,,3.61,3.61
858,DmC: Devil May Cry,All,N/A,Action,Unknown  ,Ninja Theory  ,,,,,,,,3.6,3.6
859,Guitar Hero: Aerosmith,All,N/A,Music,Unknown  ,Neversoft  ,,,,,,,,3.6,3.6
860,Hitman: Absolution,All,N/A,Action-Adventure,Unknown  ,IO Interactive  ,,,,,,,,3.6,3.6
861,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami  ,KCEJ / Kojima Productions  ,9,,,,,,,3.6,3.6
862,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft  ,Ubisoft Quebec  ,8.6,,0.9,2.06,0.08,0.55,3.6,,3.6
863,Star Wars Battlefront II,PS2,2005,Shooter,LucasArts  ,Pandemic Studios  ,8.5,,2.18,1.02,0.03,0.37,3.59,,3.59
864,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,2.34,0.9,0,0.34,3.58,,3.58
865,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,Majesco  ,Office Create  ,6.9,,1.6,1.49,0.1,0.39,3.58,,3.58
866,Undertale,PC,2015,Role-Playing,Toby Fox  ,Toby Fox  ,,,,,,,,3.58,3.58
867,WWF SmackDown!,PS,2000,Fighting,THQ  ,Yuke's  ,,,2.01,1.35,0.06,0.16,3.58,,3.58
868,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive  ,Argonaut Games  ,7.6,,1.57,1.79,,0.2,3.56,,3.56
869,Battlefield 4,X360,2013,Shooter,Electronic Arts  ,EA DICE  ,8.7,,2.16,1.05,0.02,0.32,3.54,,3.54
870,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Rockstar Games  ,Rockstar Leeds  ,8.3,,1.56,1.4,0.07,0.5,3.54,,3.54
871,The Getaway,PS2,2003,Action,Sony Computer Entertainment  ,Team Soho  ,7.7,,1.23,1.77,0.05,0.49,3.54,,3.54
872,Tomb Raider III: Adventures of Lara Croft,PS,1998,Adventure,Eidos Interactive  ,Core Design Ltd.  ,8.2,,1.66,1.58,0.12,0.18,3.54,,3.54
873,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive  ,Rocksteady Studios  ,9.1,,2.24,0.95,0.02,0.33,3.54,,3.54
874,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,2.87,0.39,0.03,0.25,3.53,,3.53
875,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts  ,EA Redwood Shores  ,,,1.9,1.13,0.1,0.41,3.53,,3.53
876,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive  ,Traveller's Tales  ,7.9,,1.98,1.14,0.01,0.41,3.53,,3.53
877,Resident Evil 5,X360,2009,Action,Capcom  ,Capcom  ,8.6,,2.13,0.93,0.12,0.34,3.53,,3.53
878,Rugrats in Paris: The Movie,PS,2000,Action,THQ  ,Avalanche Software  ,,,1.96,1.33,,0.23,3.52,,3.52
879,NBA 2K17,PS4,2016,Sports,2K Sports  ,Visual Concepts  ,9,,2.28,0.59,0.03,0.63,3.52,,3.52
880,FIFA Soccer 11,X360,2010,Sports,EA Sports  ,EA Canada  ,8.7,,0.71,2.39,0.02,0.4,3.52,,3.52
881,Left 4 Dead,X360,2008,Shooter,Valve Corporation  ,Certain Affinity / Valve Software  ,8.7,9,2.66,0.49,0.05,0.31,3.52,,3.52
882,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo  ,Rare Ltd.  ,8.8,,,,,,,3.51,3.51
883,Dead Cells,All,2018,Action,Motion Twin  ,Motion Twin  ,,,,,,,,3.5,3.5
884,Drawn to Life,Series,2007,Action-Adventure,THQ  ,5th Cell  ,,,,,,,,3.5,3.5
885,Fable II,X360,2008,Role-Playing,Microsoft Game Studios  ,Lionhead Studios  ,9,9.3,,,,,,3.5,3.5
886,Kung Fu,NES,1985,Action,Nintendo  ,Irem Software Engineering  ,,,,,,,,3.5,3.5
887,Legacy of Kain,Series,1996,Action-Adventure,Crystal Dynamics  ,Silicon Knights  ,,,,,,,,3.5,3.5
888,Mortal Kombat: Deadly Alliance,All,N/A,Fighting,Unknown  ,Midway Games  ,,,,,,,,3.5,3.5
889,Resident Evil 3: Nemesis,PS,1999,Action,Capcom  ,Capcom  ,9.4,,,,,,,3.5,3.5
890,World of Warcraft: The Burning Crusade,PC,2007,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,,,,,,,3.5,3.5
891,WWE SmackDown vs. Raw 2010,All,N/A,Sports,Unknown  ,THQ  ,,,,,,,,3.5,3.5
892,WWE SmackDown vs. Raw 2011,All,N/A,Sports,Unknown  ,THQ  ,,,,,,,,3.5,3.5
893,Final Fantasy IV,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,3.5,3.5
894,FIFA Soccer 2004,PS2,2003,Sports,EA Sports  ,EA Canada  ,8,,0.59,2.36,0.04,0.51,3.49,,3.49
895,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2006,Role-Playing,Nintendo  ,ChunSoft  ,6.3,,,,,,,3.49,3.49
896,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,1.94,0.94,,0.61,3.49,,3.49
897,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts  ,EA Digital Illusions CE  ,9,9.3,2.11,1.01,0.04,0.33,3.48,,3.48
898,Borderlands,X360,2009,Shooter,2K Games  ,Gearbox Software  ,8.3,,2.43,0.72,0.03,0.3,3.48,,3.48
899,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo  ,Nintendo EAD  ,6.6,,,,,,,3.47,3.47
900,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega  ,Sega  ,7.6,,1.21,1.63,0.27,0.37,3.47,,3.47
901,Dying Light,PC,2016,Action,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,,,,3.47,3.47
902,Guitar Hero: On Tour,DS,2008,Misc,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46,,3.46
903,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari  ,Dimps Corporation  ,,,,,,,,3.46,3.46
904,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,,,,,,3.45,3.45
905,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Studios  ,343 Industries  ,,,2.06,1.04,0.03,0.31,3.44,,3.44
906,LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.5,,2.07,1.04,,0.34,3.44,,3.44
907,Tekken 4,PS2,2002,Fighting,Namco  ,Namco  ,7.9,,1.55,1.27,0.33,0.29,3.44,,3.44
908,FIFA 14,PS4,2013,Sports,EA Sports  ,EA Canada  ,,,0.62,2.18,0.12,0.51,3.43,,3.43
909,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.1,,1.83,1.07,0.06,0.47,3.43,,3.43
910,Grand Theft Auto 2,PS,1999,Action,Rockstar Games  ,DMA Design  ,6.9,,1.13,2.07,,0.22,3.42,,3.42
911,Destiny,XOne,2014,Shooter,Activision  ,Bungie  ,8.3,,2.17,0.92,,0.32,3.41,,3.41
912,Spider-Man 2,PS2,2004,Action,Activision  ,Treyarch  ,7.9,,1.75,1.2,0.02,0.43,3.41,,3.41
913,F-1 Race,GB,1991,Racing,Nintendo  ,Nintendo  ,,,,,,,,3.41,3.41
914,Lego Star Wars: The Complete Saga,All,N/A,Action-Adventure,Unknown  ,TT Fusion  ,,,,,,,,3.4,3.4
915,SimCity 2000,All,N/A,Simulation,Unknown  ,Maxis  ,,,,,,,,3.4,3.4
