Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
1631,PaRappa The Rapper,PS,1997,Misc,Sony Computer Entertainment  ,NanaOn-Sha  ,9.2,,0.26,0.16,1.46,0.03,1.92,,1.92
1632,Star Wars Battlefront II (2017),XOne,2017,Shooter,Electronic Arts  ,EA DICE  ,,,1.15,0.59,,0.17,1.92,,1.92
1633,Need for Speed: Shift,X360,2009,Racing,Electronic Arts  ,Slightly Mad Studios  ,8.2,,0.73,0.96,0.01,0.22,1.91,,1.91
1634,Postal 2,PC,2003,Shooter,Whiptail Interactive  ,Running With Scissors  ,4.8,,,,,,,1.91,1.91
1635,Lego Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.59,1,0.01,0.3,1.91,,1.91
1636,Mario Party 3,N64,2001,Misc,Nintendo  ,Hudson Soft  ,7,,,,,,,1.91,1.91
1637,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo  ,Intelligent Systems  ,9,,,,,,,1.91,1.91
1638,Madden NFL 18,XOne,2017,Sports,EA Sports  ,EA Tiburon  ,8.8,,1.63,0.07,,0.2,1.91,,1.91
1639,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts  ,Factor 5  ,9.2,,1.03,0.75,0.03,0.09,1.9,,1.9
1640,Tomb Raider (2013),X360,2013,Action,Square Enix  ,Crystal Dynamics  ,8.5,,0.86,0.87,0.01,0.16,1.9,,1.9
1641,Dissidia: Final Fantasy,PSP,2009,Fighting,Square Enix  ,Square Enix  ,8.1,10,,,,,,1.9,1.9
1642,Dragon Quest Monsters: Joker,DS,2007,Role-Playing,Square Enix  ,TOSE Software  ,7.6,,,,,,,1.9,1.9
1643,Hitman: Contracts,All,N/A,Action-Adventure,Unknown  ,IO Interactive  ,,,,,,,,1.9,1.9
1644,Monster Hunter Tri,Wii,2010,Role-Playing,Capcom  ,Capcom Production Studio 1  ,8.1,10,,,,,,1.9,1.9
1645,Mortal Kombat vs. DC Universe,All,N/A,Fighting,Unknown  ,Midway Games  ,,,,,,,,1.9,1.9
1646,Mortal Kombat: Deception,All,N/A,Fighting,Unknown  ,Midway Games  ,,,,,,,,1.9,1.9
1647,Octopath Traveler,NS,2018,Role-Playing,Nintendo  ,Square Enix  ,8.1,8.7,,,,,,1.9,1.9
1648,Parasite Eve,PS,1998,Role-Playing,Square EA  ,SquareSoft  ,7.9,,,,,,,1.9,1.9
1649,Prince of Persia: Warrior Within,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,1.9,1.9
1650,Tom Clancy's Splinter Cell: Conviction,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,1.9,1.9
1651,Batman: Arkham Origins,X360,2013,Action-Adventure,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.15,0.58,0,0.17,1.9,,1.9
1652,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment  ,Supermassive Games Ltd.  ,,,0.62,0.92,0.06,0.3,1.9,,1.9
1653,Monopoly,Wii,2008,Misc,Electronic Arts  ,EA Bright Light  ,,,0.86,0.83,0,0.2,1.89,,1.89
1654,Minecraft,NS,2018,Sandbox,Mojang  ,4J Studios  ,9.2,,0.69,0.56,0.52,0.12,1.89,,1.89
1655,Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,9,1.05,0.55,0.03,0.26,1.89,,1.89
1656,Madden NFL 09,PS3,2008,Sports,EA Sports  ,EA Tiburon  ,8.6,,1.56,0.15,0,0.18,1.89,,1.89
1657,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios  ,Papaya Studios  ,,,1.04,0.66,,0.19,1.89,,1.89
1658,Game Party 2,Wii,2008,Misc,Midway Games  ,FarSight Studios  ,,,1.28,0.44,,0.17,1.88,,1.88
1659,Tetris DX,GBC,1998,Puzzle,Nintendo  ,Nintendo聽R&D1  ,,,,,,,,1.88,1.88
1660,Yu-Gi-Oh! Forbidden Memories,PS,2002,Role-Playing,Konami  ,KCEJ  ,7,,1.37,0.44,,0.08,1.88,,1.88
1661,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games  ,Midway Games  ,7.4,,0.92,0.72,,0.24,1.88,,1.88
1662,Hot Shots Golf 2,PS,2000,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.25,0.12,1.48,0.03,1.88,,1.88
1663,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts  ,EA Los Angeles  ,,,0.89,0.69,0.09,0.21,1.88,,1.88
1664,WCW Nitro,PS,1998,Fighting,THQ  ,Inland Productions  ,,,1.42,0.36,0.03,0.07,1.88,,1.88
1665,The Long Dark,PC,2017,Simulation,Hinterland Studio Inc.  ,Hinterland Studio Inc.  ,,,,,,,,1.88,1.88
1666,High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,,,0.47,0.08,,1.33,1.87,,1.87
1667,FIFA 2000,PS,1999,Sports,EA Sports  ,EA Canada  ,8.8,,0.22,1.47,0.04,0.14,1.87,,1.87
1668,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.1,,1.05,0.48,0.08,0.26,1.87,,1.87
1669,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts  ,Krome Studios  ,6.8,7.4,1.11,0.56,0,0.19,1.86,,1.86
1670,The Legend of Zelda: Oracle of Seasons,GBC,2001,Adventure,Nintendo  ,Flagship  ,9.3,,0.87,0.52,0.41,0.06,1.86,,1.86
1671,Broforce,PC,2014,Action,Devolver Digital  ,Free Lives Games  ,,,,,,,,1.86,1.86
1672,Madden NFL 06,XB,2005,Sports,EA Sports  ,EA Tiburon  ,,,1.75,0.03,,0.08,1.86,,1.86
1673,Shrek 2,PS2,2004,Platform,Activision  ,"Luxoflux, Inc.  ",6.9,,1.12,0.69,0.03,0.02,1.86,,1.86
1674,Sonic Classic Collection,DS,2010,Platform,Sega  ,Sonic Team  ,7.5,,0.94,0.74,,0.18,1.86,,1.86
1675,The Legend of Dragoon,PS,2000,Role-Playing,Sony Computer Entertainment  ,SCEI  ,7.8,6.5,0.94,0.44,0.39,0.1,1.86,,1.86
1676,Turok 2: Seeds of Evil,N64,1998,Shooter,Acclaim Entertainment  ,Iguana Entertainment  ,9,,1.37,0.41,0.04,0.04,1.86,,1.86
1677,The Evil Within,PS4,2014,Action,Bethesda Softworks  ,Tango Gameworks  ,7.7,,0.56,0.9,0.11,0.28,1.86,,1.86
1678,SingStar,PS2,2004,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,8,,,1.37,,0.49,1.86,,1.86
1679,Max Payne 3,PS3,2012,Shooter,Rockstar Games  ,Rockstar Vancouver  ,,,0.59,0.93,0.06,0.27,1.86,,1.86
1680,NBA Live 2002,PS2,2001,Sports,EA Sports  ,EA Canada  ,,,0.91,0.71,,0.24,1.86,,1.86
1681,Jak 3,PS2,2004,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,1.33,0.49,,0.03,1.85,,1.85
1682,Batman: Arkham Origins,PC,2014,Action-Adventure,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,,,,,,1.85,1.85
1683,Kirby's Epic Yarn,Wii,2010,Platform,Nintendo  ,Good-Feel  ,8.7,,,,,,,1.85,1.85
1684,Pinball,NES,1985,Misc,Nintendo  ,Nintendo  ,,,,,,,,1.85,1.85
1685,Sonic Generations,All,N/A,Platform,Unknown  ,Sonic Team/Dimps Corporation  ,,,,,,,,1.85,1.85
1686,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios  ,Disney Interactive Studios  ,,,1.33,0.37,,0.15,1.85,,1.85
1687,Gran Turismo Concept 2001 Tokyo,PS2,N/A,Racing,Unknown  ,Polyphony Digital  ,,,,1.1,0.42,0.33,1.84,,1.84
1688,Forza Horizon 4,XOne,2018,Racing,Microsoft Studios  ,Playground Games  ,9.2,,0.74,0.95,0.01,0.15,1.84,,1.84
1689,Yoshi's Crafted World,NS,2019,Platform,Nintendo  ,Good-Feel  ,7.8,,,,,,,1.84,1.84
1690,NCAA Football 06,PS2,2005,Sports,EA Sports  ,EA Tiburon  ,,,1.53,0.05,,0.25,1.84,,1.84
1691,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft  ,Ubisoft Paris  ,6.6,,0.82,0.82,,0.2,1.84,,1.84
1692,Watch Dogs,PS3,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,0.56,0.89,0.1,0.28,1.83,,1.83
1693,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ  ,Sega  ,,,1.31,0.49,,0.03,1.83,,1.83
1694,Jet Moto,PS,1996,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,1.33,0.4,0.03,0.07,1.83,,1.83
1695,"Hey You, Pikachu!",N64,2000,Simulation,Nintendo  ,Ambrella  ,,,,,,,,1.83,1.83
1696,Sonic Mega Collection Plus,PS2,2004,Misc,Sega  ,Sonic Team  ,,,,,,,,1.83,1.83
1697,The Elder Scrolls V: Skyrim Special Edition,XOne,2016,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.1,,1.13,0.53,,0.17,1.83,,1.83
1698,Risk of Rain,PC,2013,Misc,"Infocom, Inc.  ",Unknown  ,,,,,,,,1.83,1.83
1699,Dragon Quest XI,3DS,2017,Role-Playing,Square Enix  ,Square Enix  ,,,,,1.82,,1.82,,1.82
1700,Donkey Kong Country,GBA,2003,Platform,Nintendo  ,Rare Ltd.  ,7.5,,,,,,,1.82,1.82
1701,Sonic & Knuckles,GEN,1994,Platform,Sega  ,Sonic Team  ,,,1.24,0.43,0.03,0.12,1.82,,1.82
1702,Star Fox Adventures,GC,2002,Adventure,Nintendo  ,Rare Ltd.  ,8.1,,,,,,,1.82,1.82
1703,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks  ,MachineGames  ,,,,,,,,1.82,1.82
1704,BioShock Infinite,PS3,2013,Shooter,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82,,1.82
1705,Namco Museum,PS2,2001,Misc,Namco  ,Mass Media  ,,,1.73,0.07,,0.02,1.82,,1.82
1706,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts  ,Maxis  ,,,1.81,0,,,1.82,,1.82
1707,The Orange Box,X360,2007,Shooter,Electronic Arts  ,Valve Software  ,9.7,,1.09,0.53,0.02,0.17,1.82,,1.82
1708,DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami  ,Konami Computer Entertainment Tokyo  ,,,1.05,0.59,,0.18,1.81,,1.81
1709,Clubhouse Games: 51 Worldwide Classics,NS,2020,Party,Nintendo  ,Nintendo  ,,,,,,,,1.81,1.81
1710,Crazy Taxi,DC,2000,Racing,Sega  ,Hitmaker  ,9.3,,1.1,0.51,0.12,0.08,1.81,,1.81
1711,NBA 2K11,PS3,2010,Sports,2K Sports  ,Visual Concepts  ,,,1.41,0.21,0.03,0.16,1.81,,1.81
1712,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment  ,Sucker Punch  ,,,0.88,0.69,,0.23,1.81,,1.81
1713,Alan Wake,PC,2012,Action,Remedy Entertainment  ,Remedy Entertainment  ,,,,,,,,1.8,1.8
1714,Guitar Hero: World Tour,PS2,2008,Misc,Activision  ,BudCat Creations  ,,,1,0.03,,0.77,1.8,,1.8
1715,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Namco  ,Namco  ,,,,,,,,1.8,1.8
1716,Sonic Advance 2,GBA,2003,Platform,Sega  ,Dimps Corporation / Sonic Team  ,,,0.93,0.59,0.21,0.07,1.8,,1.8
1717,Dead Rising,X360,2006,Action,Capcom  ,Capcom Production Studio 1  ,8.4,,,,,,,1.8,1.8
1718,Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Role-Playing,Enix  ,Matrix Software  ,,,,,,,,1.8,1.8
1719,Guitar Hero,PS2,2005,Misc,RedOctane  ,Harmonix Music Systems  ,8,,,,,,,1.8,1.8
1720,Kingdom Hearts HD I.5 + II.5 ReMIX,PS4,2017,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,,1.8,1.8
1721,Monster Hunter Double Cross,3DS,2017,Action,Capcom  ,Capcom  ,,,,,,,,1.8,1.8
1722,Namco Museum DS,DS,2007,Misc,Namco Bandai  ,M2  ,,,,,,,,1.8,1.8
1723,Secret of Mana,SNES,1993,Role-Playing,Square  ,SquareSoft  ,9.1,,,,,,,1.8,1.8
1724,Sonic Colors,Wii,2010,Platform,Sega  ,Sonic Team  ,7.7,,,,,,,1.8,1.8
1725,Street Fighter X Tekken,All,N/A,Fighting,Unknown  ,Capcom  ,,,,,,,,1.8,1.8
1726,NFL GameDay 2000,PS,1999,Sports,989 Studios  ,Red Zone Entertainment  ,,,1,0.68,,0.12,1.8,,1.8
1727,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo  ,HAL Laboratory  ,7.6,,,,,,,1.79,1.79
1728,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo  ,Camelot Software Planning  ,6.6,,,,,,,1.79,1.79
1729,Samurai Warriors,PS2,2004,Action,KOEI  ,Omega Force  ,,,,,,,,1.79,1.79
1730,The Lion King,SNES,1994,Platform,Virgin Interactive  ,Westwood Studios  ,,,1.26,0.39,0.08,0.06,1.79,,1.79
1731,Attack on Titan,Series,N/A,Action,Unknown  ,Spike Chunsoft  ,,,,,,,,1.79,1.79
1732,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts  ,Traveller's Tales  ,7.5,,1.01,0.62,,0.15,1.79,,1.79
1733,The Crew,PS4,2014,Racing,Ubisoft  ,Ubisoft Reflections  ,,,0.44,1.04,0.03,0.27,1.79,,1.79
1734,Midnight Club II,PS2,2003,Racing,Rockstar Games  ,Rockstar San Diego  ,,,1.25,0.29,,0.24,1.78,,1.78
1735,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ  ,Climax Group  ,,,1.12,0.58,,0.08,1.78,,1.78
1736,Wii Party U,WiiU,2013,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.6,,,,,,,1.78,1.78
1737,The Getaway: Black Monday,PS2,2005,Action,Sony Computer Entertainment  ,Team Soho  ,,,0.39,1.01,0.02,0.36,1.78,,1.78
1738,Far Cry 5,XOne,2018,Action,Ubisoft  ,Ubisoft Montreal  ,7.2,,1.14,0.47,,0.17,1.78,,1.78
1739,Mad Max (2013),PC,2015,Action,Warner Bros. Interactive Entertainment  ,Avalanche Studios  ,,,,,,,,1.78,1.78
1740,Bayonetta,All,N/A,Action,Unknown  ,PlatinumGames  ,,,,,,,,1.77,1.77
1741,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games  ,Genuine  ,,,0.85,0.76,,0.16,1.77,,1.77
1742,Dynasty Warriors 3,PS2,2001,Action,KOEI  ,Omega Force  ,,,,,,,,1.77,1.77
1743,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo  ,HAL Laboratory  ,7.9,,,,,,,1.77,1.77
1744,UFC 2009 Undisputed,PS3,2009,Fighting,THQ  ,Yuke's Osaka  ,8.4,,1.07,0.45,0.01,0.24,1.76,,1.76
1745,Dragon's Dogma,PS3,2012,Role-Playing,Capcom  ,Capcom  ,,,0.41,0.48,0.72,0.16,1.76,,1.76
1746,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,6.4,,1.15,0.45,,0.16,1.76,,1.76
1747,Ori and the Blind Forest: Definitive Edition,PC,2016,Platform,Nordic Games  ,Moon Studios  ,,,,,,,,1.76,1.76
1748,WWF Attitude,PS,1999,Fighting,Acclaim Entertainment  ,Acclaim Entertainment  ,,,1.27,0.42,,0.07,1.76,,1.76
1749,The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ  ,Heavy Iron Studios  ,6.6,,1.06,0.54,,0.16,1.76,,1.76
1750,Kid Icarus,NES,1987,Platform,Nintendo  ,Nintendo R&D1  ,,,,,,,,1.76,1.76
1751,Sonic the Hedgehog 3,GEN,1994,Platform,Sega  ,Sonic Team  ,,,1.02,0.47,0.2,0.07,1.76,,1.76
1752,The Legend of Zelda: The Minish Cap,GBA,2005,Adventure,Nintendo  ,Flagship  ,8.9,,,,,,,1.76,1.76
1753,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts  ,AKI Corporation / EA Canada  ,,,0.86,0.67,,0.22,1.76,,1.76
1754,Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,1.23,0.46,,0.07,1.76,,1.76
1755,State of Emergency,PS2,2002,Action,Rockstar Games  ,VIS Entertainment  ,8,,0.86,0.67,,0.22,1.76,,1.76
1756,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ  ,Helixe / Altron  ,,,1.26,0.47,,0.03,1.76,,1.76
1757,Kinect Star Wars,X360,2012,Action,Microsoft Studios  ,Terminal Reality  ,,,1.05,0.53,0.03,0.15,1.76,,1.76
1758,The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts  ,Maxis  ,,,0.52,0.95,,0.29,1.76,,1.76
1759,Star Wars: Starfighter,PS2,2001,Simulation,LucasArts  ,LucasArts  ,,,0.61,0.87,0.02,0.26,1.76,,1.76
1760,Madden NFL 2000,PS,1999,Sports,EA Sports  ,EA Tiburon  ,,,1.68,0.04,,0.04,1.75,,1.75
1761,Just Cause 2,PS3,2010,Action,Square Enix  ,Avalanche Studios  ,8.3,,0.45,0.92,0.06,0.32,1.75,,1.75
1762,Star Wars Battlefront,XB,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,1.24,0.45,,0.07,1.75,,1.75
1763,Pro Evolution Soccer,PS2,2001,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.06,0.9,0.53,0.27,1.75,,1.75
1764,Metal Gear Solid V: The Phantom Pain,PC,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,,,,,,1.75,1.75
1765,Disney's Aladdin,SNES,1993,Platform,Capcom  ,Capcom/Disney  ,,,,,,,,1.75,1.75
1766,Kirby's Adventure,NES,1993,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,,1.75,1.75
1767,Yoshi,NES,1992,Puzzle,Nintendo  ,Game Freak  ,,,,,,,,1.75,1.75
1768,For Honor,PS4,2017,Action,Ubisoft  ,Ubisoft Montreal  ,,,0.73,0.66,0.07,0.28,1.75,,1.75
1769,FIFA Soccer 08,PS3,2007,Sports,EA Sports  ,EA Canada  ,8.5,,0.35,1.07,0.02,0.31,1.75,,1.75
1770,Crackdown,X360,2007,Shooter,Microsoft Game Studios  ,Realtime Worlds  ,8.4,7,1,0.53,0.03,0.18,1.75,,1.75
1771,Dance Dance Revolution X,PS2,2008,Simulation,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.85,0.66,0.01,0.22,1.75,,1.75
1772,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ  ,Various  ,,,1.25,0.46,,0.03,1.75,,1.75
1773,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,1.34,0.23,,0.18,1.74,,1.74
1774,Star Wars Episode I: The Phantom Menace,PS,1999,Adventure,LucasArts  ,Big Ape Productions  ,,,0.72,0.89,0.04,0.1,1.74,,1.74
1775,Max Payne 3,PC,2012,Shooter,Rockstar Games  ,Rockstar Vancouver  ,9,,,,,,,1.74,1.74
1776,NBA 2K15,XOne,2014,Sports,2K Sports  ,Visual Concepts  ,,,1.39,0.18,,0.18,1.74,,1.74
1777,NBA 2K19,XOne,2018,Sports,2K Sports  ,Visual Concepts  ,,,1.47,0.08,,0.18,1.74,,1.74
1778,Cuphead,PC,2017,Action,Studio MDHR  ,Studio MDHR  ,,,,,,,,1.74,1.74
1779,Shadow of the Tomb Raider,PS4,2018,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,0.59,0.82,0.06,0.27,1.74,,1.74
1780,SSX Tricky,PS2,2001,Sports,EA Sports BIG   ,EA Canada  ,9.2,,0.85,0.66,,0.22,1.73,,1.73
1781,Twisted Metal III,PS,1998,Action,989 Studios  ,989 Studios  ,4.4,,1.48,0.2,,0.05,1.73,,1.73
1782,Harry Potter and the Sorcerer's Stone,GB,2001,Action,Electronic Arts  ,Griptonite Games  ,,,0.94,0.62,0.1,0.07,1.73,,1.73
1783,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo  ,AlphaDream Corporation  ,8.8,,,,,,,1.73,1.73
1784,Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Vivendi Games  ,Vicarious Visions  ,8.3,,0.95,0.7,,0.08,1.73,,1.73
1785,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Rockstar Games  ,Rockstar North  ,9.7,,0.85,0.66,,0.22,1.72,,1.72
1786,Dishonored,X360,2013,Shooter,Bethesda Softworks  ,Arkane Studios  ,,,1.06,0.5,0.01,0.15,1.72,,1.72
1787,Call of Duty: World at War Final Fronts,PS2,2008,Shooter,Activision  ,Rebellion Developments  ,6.8,,0.61,0.18,,0.94,1.72,,1.72
1788,Cruis'n USA,N64,1996,Racing,Nintendo  ,Midway Games  ,,,,,,,,1.72,1.72
1789,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo  ,Intelligent Systems  ,7.3,,,,,,,1.72,1.72
1790,Hot Shots Golf Fore!,PS2,2004,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.27,0.11,1.34,,1.72,,1.72
1791,Titanfall 2,PS4,2016,Shooter,Electronic Arts  ,Respawn Entertainment  ,8.9,,0.75,0.62,0.06,0.28,1.72,,1.72
1792,Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive  ,FarSight Studios  ,,,1.43,0.16,,0.13,1.72,,1.72
1793,Madden NFL 2005,XB,2004,Sports,EA Sports  ,EA Tiburon  ,,,1.61,0.03,,0.08,1.72,,1.72
1794,Deal or No Deal,DS,2007,Misc,"Destination Software, Inc  ",Global Star  ,,,1.16,0.4,,0.16,1.72,,1.72
1795,Injustice 2,PS4,2017,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.88,0.54,,0.29,1.72,,1.72
1796,The Beatles: Rock Band,Wii,2009,Misc,MTV Games  ,Harmonix Music Systems  ,9,,1.17,0.39,,0.15,1.71,,1.71
1797,Toy Story 2: Buzz Lightyear to the Rescue!,PS,1999,Platform,Activision  ,Traveller's Tales  ,,,0.99,0.64,,0.08,1.71,,1.71
1798,Imagine: Teacher,DS,2008,Simulation,Ubisoft  ,Magic Pockets  ,,,0.7,0.83,,0.19,1.71,,1.71
1799,Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision  ,Infinity Ward  ,8,,0.41,0.99,,0.31,1.71,,1.71
1800,Need for Speed Underground,XB,2003,Racing,Electronic Arts  ,EA Black Box  ,,,1.09,0.55,,0.07,1.71,,1.71
1801,Tetris Worlds,GBA,2001,Puzzle,THQ  ,3d6 Games  ,,,1.25,0.39,,0.06,1.71,,1.71
1802,Call of Duty Black Ops: Declassified,PSV,2012,Shooter,Activision  ,Nihilistic  ,,,0.74,0.52,0.07,0.38,1.71,,1.71
1803,Portal 2,PS3,2011,Shooter,Valve  ,Valve Software  ,9.6,,0.83,0.62,0.02,0.24,1.71,,1.71
1804,Factorio,PC,2016,Strategy,Unknown  ,Unknown  ,,,,,,,,1.71,1.71
1805,FIFA Soccer 10,PS2,2009,Sports,EA Sports  ,EA Canada  ,,,0.23,0.24,0,1.23,1.7,,1.7
1806,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,0.52,0.86,0.06,0.26,1.7,,1.7
1807,Hitman: Absolution,X360,2012,Action,Square Enix  ,IO Interactive  ,,,0.68,0.88,0.01,0.13,1.7,,1.7
1808,Chrono Cross,PS,2000,Role-Playing,Square EA  ,SquareSoft  ,9.7,9.5,,,,,,1.7,1.7
1809,Devil May Cry 2,PS2,2003,Action,Capcom  ,Capcom  ,6.5,,,,,,,1.7,1.7
1810,Dragon Quest V: Hand of the Heavenly Bride,DS,2009,Role-Playing,Square Enix  ,ArtePiazza  ,8.6,,,,,,,1.7,1.7
1811,Dragon Quest VI: Realms of Revelation,DS,2011,Role-Playing,Nintendo  ,ArtePiazza  ,7.6,,,,,,,1.7,1.7
1812,Dynasty Warriors 5,PS2,2005,Action,KOEI  ,Omega Force  ,,,,,,,,1.7,1.7
1813,Final Fantasy II,SNES,1991,Role-Playing,Square  ,Square  ,10,,,,,,,1.7,1.7
1814,Final Fantasy Tactics Advance,GBA,2003,Action,Nintendo  ,Square Enix  ,,,,,,,,1.7,1.7
1815,Kane & Lynch: Dead Men,All,N/A,Shooter,Unknown  ,IO Interactive  ,,,,,,,,1.7,1.7
1816,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix  ,High Horse Entertainment  ,7.5,,,,,,,1.7,1.7
1817,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix  ,Square Enix  ,7.9,,,,,,,1.7,1.7
1818,Super Princess Peach,DS,2006,Platform,Nintendo  ,TOSE Software  ,7.8,,,,,,,1.7,1.7
1819,Super Puyo Puyo,SNES,1993,Puzzle,Banpresto  ,Compile  ,,,,,1.69,0.01,1.7,,1.7
1820,Tekken 6,X360,2009,Fighting,Namco Bandai  ,Namco Bandai Games  ,7.8,,,,,,,1.7,1.7
1821,Tom Clancy's Rainbow Six: Vegas,All,N/A,Shooter,Unknown  ,Ubisoft Montreal  ,,,,,,,,1.7,1.7
1822,NCAA Football 07,PS2,2006,Sports,Electronic Arts  ,EA Sports  ,8.9,,1.41,0.05,,0.23,1.7,,1.7
1823,Game Dev Tycoon,PC,2013,Simulation,Greenheart Games  ,Greenheart Games  ,,,,,,,,1.7,1.7
1824,Ben 10: Protector of Earth,DS,2007,Action,D3 Publisher  ,1st Playable Productions  ,,,0.68,0.82,,0.19,1.7,,1.7
1825,Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision  ,Cauldron  ,5.5,,1.58,,,0.12,1.7,,1.7
1826,SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,1.22,0.34,0.04,0.1,1.69,,1.69
1827,Saints Row IV,X360,2013,Action,Deep Silver  ,Volition Inc.  ,,,1.01,0.51,0.01,0.15,1.69,,1.69
1828,Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.94,0.64,,0.11,1.69,,1.69
1829,Cooking Mama 3: Shop & Chop,DS,2009,Simulation,505 Games  ,Cooking Mama Ltd.  ,,,0.79,0.66,0.08,0.17,1.69,,1.69
1830,Need for Speed: Undercover,X360,2008,Racing,Electronic Arts  ,EA Vancouver  ,6.3,,0.8,0.7,0.01,0.18,1.69,,1.69
1831,Aliens vs. Predator,All,N/A,Shooter,Unknown  ,Rebellion Developments  ,,,,,,,,1.69,1.69
1832,The Legend of Zelda: Breath of the Wild,WiiU,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,10,10,,,,,,1.69,1.69
1833,WCW vs. nWo: World Tour,N64,1997,Fighting,THQ  ,Aki Corp.  ,,,1.37,0.28,0.03,0.02,1.69,,1.69
